epoch,train_loss,val_loss,val_f1@0.5,val_precision@0.5,val_recall@0.5,time_sec
1,0.6706677436279261,0.6448686642031516,0.7414272474513438,0.6339144215530903,0.8928571428571429,0.3541278839111328
2,0.6051687581747908,0.5777514013826572,0.7083798882681565,0.70917225950783,0.7075892857142857,0.13953185081481934
3,0.5283606730847864,0.5238882995420887,0.738359201773836,0.7334801762114538,0.7433035714285714,0.14205384254455566
4,0.46793363267375576,0.4769404165206417,0.7591069330199764,0.8014888337468983,0.7209821428571429,0.12552118301391602
5,0.41689368272157307,0.44065716588002746,0.7972665148063781,0.813953488372093,0.78125,0.12552785873413086
6,0.37624475730728996,0.4171657974269533,0.8223684210526315,0.8081896551724138,0.8370535714285714,0.12853264808654785
7,0.3471358208337687,0.39496732431073345,0.8242009132420092,0.8434579439252337,0.8058035714285714,0.1320657730102539
8,0.32461182299297525,0.3841201097185161,0.8222996515679443,0.8571428571428571,0.7901785714285714,0.1287078857421875
9,0.3048023839700057,0.3775093214852469,0.84,0.8362831858407079,0.84375,0.11852002143859863
10,0.29156439535079465,0.36932330238654315,0.8406779661016949,0.851258581235698,0.8303571428571429,0.12215089797973633
11,0.2821240702532403,0.36602826409625566,0.8421052631578947,0.8449438202247191,0.8392857142857143,0.13539671897888184
12,0.26830182509488226,0.36121620972585017,0.8406779661016949,0.851258581235698,0.8303571428571429,0.12403416633605957
13,0.261269401089387,0.3592829145319451,0.8410138248847926,0.8690476190476191,0.8147321428571429,0.1330416202545166
14,0.25577885557978935,0.35767185303472704,0.8422247446083996,0.8568129330254042,0.828125,0.12953710556030273
15,0.2504067728596349,0.35697768017443643,0.8460661345496009,0.8648018648018648,0.828125,0.14631223678588867
16,0.24627023626307737,0.3571479069197782,0.852017937219731,0.8558558558558559,0.8482142857142857,0.14429926872253418
17,0.2421709230418579,0.3550786772905956,0.8477272727272728,0.8634259259259259,0.8325892857142857,0.14452505111694336
18,0.23725194082282106,0.35595827415791526,0.8465011286681715,0.8561643835616438,0.8370535714285714,0.15607643127441406
19,0.23603806167428945,0.3545034240742433,0.8496583143507973,0.8674418604651163,0.8325892857142857,0.13659000396728516
20,0.23122927587702527,0.35413546207863067,0.8471121177802945,0.8597701149425288,0.8348214285714286,0.1380617618560791
21,0.23224818170894676,0.35406871050733574,0.8480725623582767,0.8617511520737328,0.8348214285714286,0.16153454780578613
